geoName,geoCode,Sushi,Kebab,Hamburger,Taco,Pizza,Tacos français,Restaurant gastronomique,restaurant chinois,restaurant végétarien,restaurant italien,restaurant mexicain,restaurant indien,bar,bistro,brasserie,café,crêperie,pâtisserie,traiteur,restaurant asiatique,restaurant africain,restaurant américain,barbecue
Alsace,FR-A,11,20,9,7,53,0.0,1.1986131748390294,4.195146111936603,0.0,0.0,0.0,0.0,43.503344481605346,4.986263736263735,5.817307692307692,8.31043956043956,4.15521978021978,12.339943342776202,2.0566572237960337,0.0,0.0,0.0,18.287153652392945
Aquitaine,FR-B,10,13,11,8,58,0.0,1.1986131748390294,3.595839524517088,0.0,0.0,0.0,0.0,48.56187290969899,12.46565934065934,4.15521978021978,6.648351648351648,5.817307692307692,12.339943342776202,2.0566572237960337,0.0,0.0,0.0,21.335012594458437
Auvergne,FR-C,7,20,9,6,58,0.0,1.797919762258544,2.397226349678059,0.0,0.0,0.0,0.0,45.526755852842804,9.141483516483516,6.648351648351648,4.986263736263735,6.648351648351648,13.025495750708213,1.3711048158640224,0.0,0.0,0.0,20.573047858942065
Basse-Normandie,FR-P,8,22,9,6,55,0.0,1.1986131748390294,4.195146111936603,0.0,0.0,0.0,0.0,51.59698996655518,5.817307692307692,5.817307692307692,4.986263736263735,19.11401098901099,10.96883852691218,2.0566572237960337,0.0,0.0,0.0,25.906801007556673
Bourgogne,FR-D,8,21,9,7,55,0.0,1.1986131748390294,4.794452699356118,0.0,0.0,0.0,0.0,45.526755852842804,10.803571428571427,6.648351648351648,5.817307692307692,4.15521978021978,13.025495750708213,2.742209631728045,0.0,0.0,0.0,20.573047858942065
Bretagne,FR-E,8,17,10,6,59,0.0,1.1986131748390294,2.9965329370975735,0.0,0.0,0.0,0.0,55.643812709030094,4.15521978021978,2.4931318681318677,3.324175824175824,42.38324175824175,10.96883852691218,2.0566572237960337,0.0,0.0,0.0,28.192695214105793
Centre-Val de Loire,FR-F,10,20,10,7,53,0.0,1.1986131748390294,4.794452699356118,0.0,0.0,0.0,0.0,47.55016722408026,7.479395604395604,5.817307692307692,5.817307692307692,9.97252747252747,12.339943342776202,2.0566572237960337,0.0,0.0,0.0,23.620906801007557
Champagne-Ardenne,FR-G,9,25,9,7,50,0.0,0.5993065874195147,4.195146111936603,0.0,0.0,0.0,0.0,48.56187290969899,5.817307692307692,6.648351648351648,5.817307692307692,5.817307692307692,11.65439093484419,2.0566572237960337,0.0,0.0,0.0,22.09697732997481
Corse,FR-H,12,4,10,5,69,0.0,0.5993065874195147,0.5993065874195147,0.0,0.0,0.0,0.0,42.49163879598662,4.15521978021978,5.817307692307692,4.15521978021978,3.324175824175824,6.855524079320112,1.3711048158640224,0.0,0.0,0.0,12.191435768261965
Franche-Comté,FR-I,7,22,9,7,55,0.0,0.5993065874195147,4.195146111936603,0.0,0.0,0.0,0.0,37.43311036789297,5.817307692307692,4.986263736263735,4.15521978021978,4.15521978021978,9.597733711048157,1.3711048158640224,0.0,0.0,0.0,23.620906801007557
Haute-Normandie,FR-Q,11,29,9,5,46,0.0,1.1986131748390294,5.393759286775632,0.0,0.0,0.0,0.0,48.56187290969899,8.31043956043956,6.648351648351648,6.648351648351648,10.803571428571427,11.65439093484419,2.742209631728045,0.0,0.0,0.0,24.38287153652393
Languedoc-Roussillon,FR-K,12,11,9,9,59,0.0,1.1986131748390294,2.9965329370975735,0.0,0.0,0.0,0.0,40.46822742474916,5.817307692307692,4.986263736263735,4.986263736263735,4.986263736263735,9.597733711048157,1.3711048158640224,0.0,0.0,0.0,14.477329974811083
Limousin,FR-L,9,24,9,6,52,0.0,1.797919762258544,2.9965329370975735,0.0,0.0,0.0,0.0,47.55016722408026,10.803571428571427,4.986263736263735,5.817307692307692,7.479395604395604,17.13881019830028,1.3711048158640224,0.0,0.0,0.0,25.906801007556673
Lorraine,FR-M,9,28,7,5,51,0.0,0.5993065874195147,4.794452699356118,0.0,0.0,0.0,0.0,39.45652173913043,4.15521978021978,5.817307692307692,6.648351648351648,4.15521978021978,10.283286118980168,2.0566572237960337,0.0,0.0,0.0,20.573047858942065
Midi-Pyrénées,FR-N,11,14,9,9,57,0.0,1.797919762258544,3.595839524517088,0.0,0.0,0.0,0.0,42.49163879598662,8.31043956043956,4.986263736263735,6.648351648351648,4.986263736263735,11.65439093484419,2.0566572237960337,0.0,0.0,0.0,17.525188916876573
Nord-Pas-de-Calais,FR-O,10,16,13,9,52,0.0,0.5993065874195147,4.794452699356118,0.0,0.0,0.0,0.0,46.53846153846153,5.817307692307692,9.141483516483516,7.479395604395604,4.986263736263735,10.96883852691218,2.0566572237960337,0.0,0.0,0.0,21.335012594458437
Pays de la Loire,FR-R,8,20,10,7,55,0.0,1.1986131748390294,4.195146111936603,0.0,0.0,0.0,0.0,53.620401337792636,5.817307692307692,4.15521978021978,4.15521978021978,24.100274725274723,10.96883852691218,2.742209631728045,0.0,0.0,0.0,28.192695214105793
Picardie,FR-S,10,24,10,6,50,0.0,1.1986131748390294,5.993065874195147,0.0,0.0,0.0,0.0,41.47993311036789,5.817307692307692,5.817307692307692,6.648351648351648,7.479395604395604,10.96883852691218,2.0566572237960337,0.0,0.0,0.0,25.906801007556673
Poitou-Charentes,FR-T,9,14,9,7,61,0.0,1.1986131748390294,2.9965329370975735,0.0,0.0,0.0,0.0,48.56187290969899,9.141483516483516,4.15521978021978,4.15521978021978,10.803571428571427,10.96883852691218,2.0566572237960337,0.0,0.0,0.0,22.09697732997481
Provence-Alpes-Côte d'Azur,FR-U,17,9,9,6,59,0.0,0.5993065874195147,2.397226349678059,0.0,0.0,0.0,0.0,42.49163879598662,8.31043956043956,4.15521978021978,7.479395604395604,4.15521978021978,9.597733711048157,2.0566572237960337,0.0,0.0,0.0,14.477329974811083
